시도,평균,여가활용 만족도,노인여가복지시설 수,도서관 수,문화기반시설 수,체육관련 여가시설 수
강원도 삼척시,0.5861,0.4578,0.588,0.702,0.6966,0.3884
강원도 홍천군,0.4844,0.3466,0.45,0.248,0.4378,0.9756
강원도 횡성군,0.6106,0.0868,0.586,0.628,0.6306,0.9918
강원도 영월군,0.8509,0.3328,0.6441,0.8319,1,1
강원도 평창군,0.6234,0.3748,0.6217,0.7038,0.7568,0.5133
강원도 정선군,0.8498,0.213,0.6456,0.9929,0.9639,0.9892
강원도 철원군,0.3631,0.2317,0.4906,0.0527,0.6205,0.6155
강원도 화천군,0.8618,0.7371,0.6396,0.7194,0.9696,0.7831
강원도 양구군,0.7282,0.5675,0.7477,0.1652,0.999,0.8773
강원도 인제군,0.8195,0.5178,0.5053,0.8399,0.9958,0.8342
강원도 고성군,0.6599,0.0971,0.5678,0.9827,1,0.4572
강원도 양양군,0.76,0.4928,0.6396,0.6484,0.8245,0.8684
충청북도 충주시,0.4627,0.438,0.5212,0.1776,0.4011,0.8404
충청북도 제천시,0.5708,0.7571,0.4542,0.7097,0.5139,0.3415
충청북도 청주시,0.3968,0.5675,0.3595,0.4176,0.2843,0.5063
충청북도 보은군,0.7833,0.6162,0.9142,0.3683,0.6997,0.9611
충청북도 옥천군,0.7636,0.7288,0.7907,0.3953,0.5721,1
충청북도 영동군,0.8419,0.7763,0.866,1,0.8108,0.3223
충청북도 진천군,0.7543,0.3606,0.8099,0.6877,0.5993,0.9953
충청북도 괴산군,0.7425,0.6813,0.9136,0.9989,0.7253,0.09
충청북도 음성군,0.9285,0.9211,0.7631,0.9806,0.4693,0.9606
충청북도 단양군,0.5742,0.438,0.71,0.3084,0.9663,0.3664
충청북도 증평군,0.9132,0.791,0.7004,0.8084,0.7442,0.9942
충청남도 천안시,0.4255,0.9697,0.3972,0.2688,0.2655,0.34
충청남도 공주시,0.652,0.7801,0.6191,0.4053,0.737,0.5343
충청남도 보령시,0.6714,0.8919,0.6357,0.909,0.5315,0.1791
충청남도 아산시,0.6699,0.9981,0.5022,0.872,0.3099,0.4595
충청남도 서산시,0.6266,0.6813,0.4937,0.5997,0.2583,0.949
충청남도 논산시,0.555,0.941,0.6851,0.6365,0.3205,0.1351
충청남도 계룡시,0.5015,0.8154,0.2851,0.4134,0.4627,0.5444
충청남도 당진시,0.4082,0.6539,0.4737,0.5123,0.3794,0.158
충청남도 금산군,0.8612,0.9913,0.8149,0.9432,0.9136,0.1839
충청남도 부여군,0.7826,0.9952,0.8135,0.5372,0.5717,0.6396
충청남도 서천군,0.7615,1,0.7485,0.9115,0.461,0.3582
충청남도 청양군,0.8614,0.9862,0.9496,0.9725,0.7205,0.2185
충청남도 홍성군,0.4893,0.9997,0.6495,0.3311,0.4096,0.0863
충청남도 예산군,0.7818,0.9466,0.6367,0.5225,0.7096,0.7388
충청남도 태안군,0.3323,0.3328,0.509,0.3452,0.6116,0.0988
전라북도 전주시,0.3519,0.4232,0.2657,0.6022,0.3134,0.3654
전라북도 군산시,0.3348,0.3653,0.4131,0.5946,0.2684,0.2653
전라북도 익산시,0.3773,0.1505,0.5053,0.4259,0.3723,0.6096
전라북도 정읍시,0.7403,0.9211,0.8878,0.5932,0.6027,0.3964
전라북도 남원시,0.7962,0.7874,0.8561,0.9567,0.4852,0.5216
전라북도 김제시,0.4983,0.2355,0.8947,0.5702,0.5682,0.2406
전라북도 완주군,0.5532,0.1015,0.8205,0.6977,0.7715,0.3205
전라북도 진안군,0.9962,0.7077,0.9975,0.9994,0.7205,0.9192
전라북도 무주군,1,0.6258,0.9905,0.851,0.9932,0.8977
전라북도 장수군,0.9189,0.761,0.9961,0.8869,0.7948,0.6205
전라북도 임실군,0.6959,0.1447,0.9936,0.9363,0.7684,0.3945
전라북도 순창군,0.818,0.6162,0.9985,0.7209,0.9699,0.382
전라북도 고창군,0.6402,0.3015,0.9822,0.614,0.5717,0.5627
전라북도 부안군,0.6294,0.0577,0.9502,0.5079,0.6834,0.7931
전라남도 목포시,0.4002,0.3741,0.247,0.3127,0.3828,0.831
전라남도 여수시,0.4212,0.3237,0.386,0.3676,0.275,0.8728
전라남도 순천시,0.6732,0.8859,0.6029,0.6967,0.3349,0.6337
전라남도 나주시,0.6988,0.5463,0.8782,0.7959,0.502,0.5257
전라남도 광양시,0.6612,0.7673,0.5937,0.5906,0.2972,0.8608
전라남도 담양군,0.6318,0.7123,0.9199,0.2932,0.8923,0.1837
전라남도 곡성군,0.8735,0.5659,0.985,0.988,0.8648,0.4884
전라남도 구례군,0.743,0.6272,0.9827,0.3647,0.9051,0.5314
전라남도 고흥군,0.5015,0.549,0.9215,0.1108,0.7112,0.2287
전라남도 보성군,0.6882,0.3272,0.9632,0.7001,0.88,0.3387
전라남도 화순군,0.7755,0.9691,0.937,0.7036,0.5385,0.3825
전라남도 장흥군,0.5507,0.3295,0.9815,0.1433,0.6095,0.6387
전라남도 강진군,0.6882,0.6876,0.9608,0.3305,0.9712,0.259
전라남도 해남군,0.4834,0.4363,0.935,0.2838,0.6565,0.1427
전라남도 영암군,0.8807,0.4384,0.9801,0.9316,0.8616,0.7069
전라남도 무안군,0.7899,0.8533,0.8848,0.774,0.6434,0.4284
전라남도 함평군,0.7066,0.7818,0.9853,0.4912,0.6955,0.3232
전라남도 영광군,0.6159,0.3907,0.8967,0.1379,0.5442,0.9731
전라남도 장성군,0.7513,0.2256,0.9275,0.5595,0.7936,0.9354
전라남도 완도군,0.6135,0.6252,0.7807,0.5505,0.4847,0.4928
전라남도 진도군,0.7364,0.1882,0.9434,0.294,0.979,0.9822
전라남도 신안군,0.606,0.2608,0.9605,0.2703,0.6834,0.7315
경상북도 포항시,0.3689,0.3939,0.282,0.6117,0.2515,0.4932
경상북도 경주시,0.2951,0.3653,0.4385,0.1757,0.3879,0.393
경상북도 김천시,0.2332,0.1256,0.65,0.2449,0.3154,0.1966
경상북도 안동시,0.3937,0.5128,0.5652,0.1248,0.4856,0.4353
경상북도 구미시,0.3438,0.2928,0.384,0.2777,0.216,0.7696
경상북도 영주시,0.2259,0.0829,0.5143,0.1623,0.4685,0.2776
