시도,평균,자살률,1인가구 비율,독거노인가구 비율,사회적기업 수,가족관계 만족도
전라북도 장수군,0.5011,0.0172,0.8998,0.0736,0.7434,0.8778
전라북도 임실군,0.5354,0.1021,0.7646,0.0522,0.8337,0.9412
전라북도 순창군,0.5823,0.0464,0.9508,0.0503,0.9997,0.7589
전라북도 고창군,0.635,0.3795,0.9069,0.0435,0.8631,0.7395
전라북도 부안군,0.4438,0.7627,0.8762,0.0736,0.1808,0.5811
전라남도 목포시,0.6163,0.5923,0.3927,0.6383,0.4827,0.7817
전라남도 여수시,0.7349,0.8007,0.6285,0.5915,0.5524,0.5985
전라남도 순천시,0.7952,0.6886,0.6363,0.6706,0.6247,0.6959
전라남도 나주시,0.3704,0.3314,0.3382,0.3386,0.756,0.5344
전라남도 광양시,0.7399,0.6968,0.5807,0.7593,0.4381,0.7086
전라남도 담양군,0.7326,0.6546,0.9136,0.1688,0.9473,0.482
전라남도 곡성군,0.5911,0.969,0.771,0.0205,0.5885,0.4784
전라남도 구례군,0.6244,0.6503,0.7772,0.0666,0.6435,0.7693
전라남도 고흥군,0.1995,0.0162,0.9229,0.0083,0.263,0.679
전라남도 보성군,0.3088,0.3885,0.8998,0.0115,0.0906,0.7607
전라남도 화순군,0.6785,0.2328,0.8961,0.1247,0.9887,0.7942
전라남도 장흥군,0.3267,0.027,0.8762,0.0296,0.6653,0.5959
전라남도 강진군,0.6734,0.384,0.8884,0.0284,0.889,0.8344
전라남도 해남군,0.3024,0.4901,0.9034,0.054,0.155,0.5336
전라남도 영암군,0.2163,0.0162,0.4904,0.2014,0.3113,0.9102
전라남도 무안군,0.5591,0.6546,0.5235,0.432,0.3117,0.8289
전라남도 함평군,0.4599,0.1504,0.8844,0.0252,0.9236,0.5295
전라남도 영광군,0.1876,0.006,0.8068,0.1284,0.7877,0.1322
전라남도 장성군,0.5321,0.5322,0.9487,0.1476,0.5704,0.487
전라남도 완도군,0.4794,0.2702,0.8287,0.1076,0.5041,0.849
전라남도 진도군,0.2691,0.007,0.8537,0.0252,0.5572,0.6129
전라남도 신안군,0.1915,0.3272,0.7582,0.0374,0.0906,0.657
경상북도 포항시,0.5338,0.5275,0.5399,0.6894,0.4192,0.5139
경상북도 경주시,0.3691,0.6059,0.3307,0.4876,0.5052,0.3663
경상북도 김천시,0.2687,0.2475,0.6048,0.4047,0.3617,0.4367
경상북도 안동시,0.6605,0.3618,0.4167,0.3912,0.9148,0.9089
경상북도 구미시,0.3133,0.7804,0.1311,0.8732,0.1995,0.1776
경상북도 영주시,0.5389,0.4854,0.6518,0.3386,0.8962,0.3304
경상북도 영천시,0.087,0.0792,0.6048,0.2165,0.3348,0.3848
경상북도 상주시,0.3588,0.0361,0.7893,0.1284,0.7695,0.5477
경상북도 문경시,0.3856,0.721,0.839,0.1359,0.4799,0.1593
경상북도 경산시,0.4969,0.7734,0.1448,0.7483,0.2366,0.6986
경상북도 군위군,0.3773,0.6844,0.7953,0.0296,0.0906,0.7153
경상북도 의성군,0.033,0.0524,0.9259,0.0121,0.4892,0.0112
경상북도 청송군,0.5349,0.0078,0.7451,0.0666,0.9137,0.9597
경상북도 영양군,0.4313,0.7734,0.8762,0.036,0.0906,0.6684
경상북도 영덕군,0.4675,0.4112,0.8124,0.0222,0.955,0.3304
경상북도 청도군,0.1803,0.0222,0.863,0.0374,0.6078,0.313
경상북도 고령군,0.341,0.2401,0.771,0.187,0.526,0.5042
경상북도 성주군,0.0929,0.1477,0.7037,0.187,0.3813,0.2145
경상북도 칠곡군,0.478,0.7327,0.1696,0.7647,0.6605,0.229
경상북도 예천군,0.5684,0.5088,0.8804,0.0923,0.8973,0.3941
경상북도 봉화군,0.2471,0.2085,0.9069,0.054,0.0906,0.7435
경상북도 울진군,0.6763,0.9938,0.5968,0.1177,0.9243,0.3988
경상북도 울릉군,0.8096,0.9871,0.014,0.5085,0.8447,0.9962
경상남도 진주시,0.3187,0.6844,0.4006,0.6514,0.231,0.2075
경상남도 통영시,0.2249,0.3357,0.5152,0.571,0.2066,0.3217
경상남도 사천시,0.3434,0.6675,0.5645,0.4389,0.2998,0.2634
경상남도 김해시,0.4835,0.705,0.5807,0.8332,0.2325,0.2181
경상남도 밀양시,0.3838,0.5088,0.6965,0.1688,0.1831,0.7737
경상남도 거제시,0.3562,0.2328,0.3158,0.8581,0.1066,0.7512
경상남도 양산시,0.6759,0.6968,0.5152,0.7908,0.2502,0.7774
경상남도 창원시,0.5297,0.6718,0.507,0.7754,0.2847,0.4414
경상남도 의령군,0.3957,0.3662,0.7953,0.0096,0.308,0.8802
경상남도 함안군,0.6543,0.5647,0.7316,0.2486,0.517,0.9166
경상남도 창녕군,0.3526,0.1985,0.7646,0.0923,0.2717,0.9289
경상남도 고성군,0.2248,0.574,0.771,0.0982,0.3197,0.1873
경상남도 남해군,0.3728,0.8597,0.9315,0.0145,0.0906,0.4082
경상남도 하동군,0.6235,0.717,0.8287,0.0736,0.8631,0.4224
경상남도 산청군,0.3351,0.0334,0.7772,0.0435,0.723,0.637
경상남도 함양군,0.2192,0.3443,0.8339,0.0388,0.4276,0.2919
경상남도 거창군,0.5717,0.3751,0.863,0.1247,0.991,0.4271
경상남도 합천군,0.051,0.0255,0.8998,0.0076,0.2023,0.3988
제주특별자치도 제주시,0.6107,0.7249,0.3158,0.7806,0.6912,0.3618
제주특별자치도 서귀포시,0.6107,0.7249,0.3158,0.7806,0.6912,0.3618
