시도,평균,사회안전에 대한 인식,cctv,응급의료기관,지역경찰관서 수,교통사고 및 화재
충청남도 천안시,0.511,0.783,0.4578,0.2484,0.345,0.7117
충청남도 공주시,0.3693,0.9596,0.4264,0.2861,0.3116,0.1446
충청남도 보령시,0.2568,0.4835,0.5498,0.2989,0.3197,0.1446
충청남도 아산시,0.1211,0.4622,0.2408,0.2182,0.3308,0.1446
충청남도 서산시,0.3472,0.7893,0.3174,0.3431,0.312,0.3014
충청남도 논산시,0.3316,0.7152,0.6708,0.2621,0.3143,0.0549
충청남도 계룡시,0.3911,0.9978,0.2573,0.1059,0.3241,0.5075
충청남도 당진시,0.1738,0.4707,0.4125,0.2089,0.3152,0.1446
충청남도 금산군,0.8158,0.9937,0.8754,0.5531,0.3106,0.7117
충청남도 부여군,0.5057,0.8742,0.3948,0.4332,0.3205,0.5075
충청남도 서천군,0.6447,0.9991,0.7648,0.546,0.3288,0.3014
충청남도 청양군,0.8459,0.8604,0.9997,0.8483,0.3173,0.5075
충청남도 홍성군,0.551,0.7954,0.3806,0.3012,0.3229,0.8638
충청남도 예산군,0.67,0.9657,0.711,0.7219,0.3147,0.3014
충청남도 태안군,0.6847,0.9435,0.6212,0.466,0.3157,0.7117
전라북도 전주시,0.2984,0.1017,0.3176,0.3235,0.4646,0.7117
전라북도 군산시,0.2728,0.2931,0.4138,0.2391,0.3901,0.5075
전라북도 익산시,0.1333,0.2209,0.3213,0.2271,0.3616,0.3014
전라북도 정읍시,0.3092,0.5769,0.7456,0.2766,0.3357,0.0162
전라북도 남원시,0.2421,0.3156,0.7401,0.3603,0.3209,0.0162
전라북도 김제시,0.0311,0.1475,0.284,0.3495,0.3338,0.0162
전라북도 완주군,0.3544,0.0943,0.6383,0.3192,0.3209,0.7117
전라북도 진안군,0.6069,0.1994,0.8652,0.9435,0.3132,0.5075
전라북도 무주군,0.7477,0.4622,1,0.9594,0.3148,0.5075
전라북도 장수군,0.5225,0.5219,0.2628,0.9725,0.3151,0.5075
전라북도 임실군,0.7756,0.8272,1,0.8845,0.313,0.3014
전라북도 순창군,0.5305,0.1681,0.9126,0.898,0.3235,0.3014
전라북도 고창군,0.4587,0.3194,0.9335,0.5163,0.3212,0.3014
전라북도 부안군,0.4696,0.1964,0.6685,0.927,0.3308,0.3014
전라남도 목포시,0.5033,0.35,0.2326,0.7425,0.6906,0.5075
전라남도 여수시,0.2859,0.5267,0.2798,0.4168,0.3575,0.3014
전라남도 순천시,0.4881,0.5931,0.216,0.6297,0.328,0.7117
전라남도 나주시,0.3256,0.6826,0.4562,0.5174,0.3269,0.0162
전라남도 광양시,0.4471,0.5821,0.2074,0.3787,0.3255,0.8638
전라남도 담양군,0.4273,0.7435,0.3108,0.6252,0.3184,0.3014
전라남도 곡성군,0.4876,0.5398,0.4267,0.8915,0.3177,0.3014
전라남도 구례군,0.796,0.5391,0.888,0.9284,0.319,0.7117
전라남도 고흥군,0.715,0.6544,0.6818,0.9824,0.3213,0.5075
전라남도 보성군,0.6399,0.7479,0.8598,0.9857,0.3164,0.0162
전라남도 화순군,0.6547,0.499,0.4597,0.9862,0.3132,0.7117
전라남도 장흥군,0.6419,0.5758,0.746,0.9937,0.3151,0.3014
전라남도 강진군,0.6645,0.606,0.7809,0.7843,0.3198,0.5075
전라남도 해남군,0.5232,0.4806,0.6752,0.9657,0.3157,0.1446
전라남도 영암군,0.3806,0.7651,0.2446,0.538,0.3126,0.3014
전라남도 무안군,0.5,0.6962,0.8307,0.3626,0.3225,0.3014
전라남도 함평군,0.6345,0.7146,0.7378,0.8296,0.3265,0.3014
전라남도 영광군,0.6475,0.9592,0.2277,0.9292,0.3248,0.5075
전라남도 장성군,0.6643,0.6439,0.6837,0.6397,0.319,0.7117
전라남도 완도군,0.7232,0.3996,0.7701,0.9463,0.344,0.7117
전라남도 진도군,0.6804,0.9662,0.8352,0.866,0.3231,0.0549
전라남도 신안군,0.6037,0.7135,0.7655,0.7034,0.3354,0.3014
경상북도 포항시,0.2703,0.1934,0.2903,0.2989,0.3419,0.7117
경상북도 경주시,0.1795,0.4242,0.3508,0.1679,0.3244,0.3014
경상북도 김천시,0.2369,0.6305,0.2248,0.4184,0.3196,0.1446
경상북도 안동시,0.4685,0.7735,0.6418,0.5446,0.3161,0.1446
경상북도 구미시,0.2672,0.2339,0.3064,0.2342,0.3409,0.7117
경상북도 영주시,0.6277,0.4158,0.7164,0.934,0.3163,0.5075
경상북도 영천시,0.2148,0.6465,0.3918,0.2999,0.3182,0.0162
경상북도 상주시,0.3812,0.6662,0.5423,0.5864,0.3135,0.0549
경상북도 문경시,0.471,0.42,0.7649,0.7877,0.3108,0.1446
경상북도 경산시,0.2344,0.7078,0.302,0.2466,0.3293,0.1446
경상북도 군위군,0.5793,0.4368,0.5244,0.9662,0.3125,0.5075
경상북도 의성군,0.7196,0.6662,0.7413,0.937,0.3089,0.5075
경상북도 청송군,0.8442,0.9779,0.9921,0.947,0.31,0.3014
경상북도 영양군,0.8188,0.8507,0.9966,0.9986,0.3063,0.3014
경상북도 영덕군,0.3569,0.122,0.4002,0.7523,0.3096,0.5075
경상북도 청도군,0.3543,0.7767,0.2645,0.6772,0.3106,0.0549
경상북도 고령군,0.7428,0.606,0.9607,0.8371,0.3181,0.5075
경상북도 성주군,0.4864,0.7637,0.685,0.6547,0.3153,0.0549
경상북도 칠곡군,0.4379,0.2178,0.5767,0.2645,0.3225,0.9492
경상북도 예천군,0.4022,0.2895,0.7653,0.5526,0.3165,0.3014
경상북도 봉화군,0.6992,0.4242,0.8213,0.8392,0.3044,0.7117
경상북도 울진군,0.3581,0.3545,0.3358,0.5877,0.3096,0.5075
경상북도 울릉군,1,0.9515,0.6573,1,0.3936,0.9852
경상남도 진주시,0.3993,0.2306,0.2728,0.6745,0.3272,0.7117
경상남도 통영시,0.3615,0.4792,0.5219,0.2424,0.3541,0.5075
경상남도 사천시,0.242,0.3118,0.2921,0.5172,0.3304,0.3014
경상남도 김해시,0.264,0.1426,0.2305,0.3883,0.3446,0.7117
경상남도 밀양시,0.617,0.7735,0.8295,0.7936,0.3173,0.1446
경상남도 거제시,0.2521,0.2506,0.3381,0.3565,0.33,0.5075
경상남도 양산시,0.2798,0.1681,0.3066,0.3428,0.335,0.7117
경상남도 창원시,0.4125,0.4242,0.2297,0.3665,0.3713,0.8638
경상남도 의령군,0.5732,0.4622,0.7243,0.9208,0.3207,0.3014
경상남도 함안군,0.5355,0.783,0.3589,0.4399,0.3247,0.7117
경상남도 창녕군,0.698,0.6816,0.9377,0.8582,0.3183,0.3014
경상남도 고성군,0.7044,0.6662,0.4841,0.9351,0.319,0.7117
경상남도 남해군,0.7821,0.8405,0.6521,0.6641,0.3247,0.8638
경상남도 하동군,0.4709,0.5262,0.664,0.6175,0.3186,0.3014
경상남도 산청군,0.4006,0.6142,0.211,0.7874,0.3066,0.3014
경상남도 함양군,0.7012,0.7924,0.5686,0.7219,0.3123,0.7117
경상남도 거창군,0.4392,0.9213,0.3292,0.4718,0.3107,0.3014
경상남도 합천군,0.4268,0.4158,0.6344,0.6381,0.308,0.3014
제주특별자치도 제주시,0.4461,0.308,0.7366,0.2785,0.3199,0.7117
제주특별자치도 서귀포시,0.4461,0.308,0.7366,0.2785,0.3199,0.7117
