시도,평균,환경체감도,산업폐수 방류량,녹지지역 비율,미세먼지,생활폐기물배출량
전라북도 김제시,0.5769,0.6055,0.5824,0.642,0.1342,0.6396
전라북도 완주군,0.5987,0.5202,0.0293,0.883,0.7118,0.5448
전라북도 진안군,1,0.9688,0.6822,0.8065,0.8718,0.9311
전라북도 무주군,0.8709,0.9633,0.7086,0.7717,0.8735,0.4377
전라북도 장수군,0.8372,0.9294,0.7027,0.6439,0.8022,0.5448
전라북도 임실군,0.799,0.8685,0.5641,0.7903,0.2969,0.9535
전라북도 순창군,0.8585,0.8873,0.61,0.8838,0.4081,0.9171
전라북도 고창군,0.7952,0.8914,0.607,0.7738,0.9028,0.2833
전라북도 부안군,0.6588,0.7235,0.5015,0.7551,0.1638,0.7805
전라남도 목포시,0.549,0.2199,0.6922,0.0372,0.952,0.5929
전라남도 여수시,0.3839,0.26,0.0044,0.455,0.9612,0.1674
전라남도 순천시,0.7285,0.4851,0.6596,0.8353,0.6627,0.5545
전라남도 나주시,0.6215,0.4893,0.4765,0.7521,0.2655,0.7947
전라남도 광양시,0.2171,0.1634,0,0.2063,0.6578,0.1674
전라남도 담양군,0.6428,0.6591,0.0359,0.8972,0.332,0.9373
전라남도 곡성군,0.8191,0.8809,0.6972,0.7923,0.3539,0.8277
전라남도 구례군,0.8333,0.8449,0.6462,0.6754,0.5401,0.9011
전라남도 고흥군,0.8551,0.8069,0.7263,0.6128,0.8626,0.6844
전라남도 보성군,0.9192,0.7714,0.7176,0.8229,0.7751,0.8571
전라남도 화순군,0.6607,0.4692,0.2733,0.8955,0.4256,0.8679
전라남도 장흥군,0.7342,0.8012,0.207,0.8266,0.6265,0.7581
전라남도 강진군,0.7295,0.9108,0.5452,0.6336,0.4905,0.6212
전라남도 해남군,0.7229,0.641,0.7291,0.326,0.6641,0.8149
전라남도 영암군,0.2336,0.5146,0.2024,0.1464,0.3556,0.0402
전라남도 무안군,0.7162,0.6225,0.6732,0.6256,0.5881,0.6396
전라남도 함평군,0.8023,0.8335,0.6556,0.6895,0.42,0.8877
전라남도 영광군,0.7491,0.6917,0.5792,0.5954,0.5545,0.8571
전라남도 장성군,0.8814,0.8293,0.6222,0.8813,0.6829,0.7805
전라남도 완도군,0.8204,0.7872,0.6992,0.6416,0.6785,0.7504
전라남도 진도군,0.894,0.9459,0.6602,0.8228,0.7585,0.6578
전라남도 신안군,0.8988,0.8288,0.727,0.8721,0.8059,0.6304
경상북도 포항시,0.2852,0.1859,0.0241,0.2826,0.3851,0.5834
경상북도 경주시,0.5335,0.5963,0.4674,0.86,0.392,0.118
경상북도 김천시,0.5807,0.814,0.3354,0.5084,0.2424,0.7183
경상북도 안동시,0.5613,0.9513,0.6796,0.701,0.1638,0.047
경상북도 구미시,0.2851,0.193,0.0118,0.5627,0.1778,0.5156
경상북도 영주시,0.4795,0.8308,0.5573,0.6777,0.0477,0.1086
경상북도 영천시,0.555,0.7049,0.5911,0.5712,0.3155,0.335
경상북도 상주시,0.7916,0.885,0.5786,0.6819,0.7638,0.5351
경상북도 문경시,0.5476,0.8981,0.7108,0.6306,0.0631,0.1864
경상북도 경산시,0.6624,0.775,0.6189,0.6779,0.1909,0.6756
